1766067852.8154707: X=1728, Y=842
1766067854.817098: X=1829, Y=1558
1766067856.938908: X=1832, Y=896
1766067859.8159027: X=1960, Y=925
1766067862.420678: X=1127, Y=2141
1766067863.0640516: X=3839, Y=2159
1766067863.4499657: X=1916, Y=1056
1766067863.7830122: X=1139, Y=1168
1766067864.2547958: X=983, Y=1798
1766067864.613937: X=834, Y=2131
1766067865.3965025: X=891, Y=1996
1766067893.5953393: X=726, Y=2014
1766067895.4348283: X=3806, Y=2093
1766067896.8750474: X=2641, Y=895
1766067898.13049: X=3335, Y=26
1766067901.677961: X=1033, Y=1610
1766067903.1414402: X=999, Y=1597
1766067904.6401865: X=258, Y=1395
1766067906.330961: X=1844, Y=1127
1766067907.7148423: X=623, Y=2099
1766067908.1007063: X=620, Y=2114
1766067937.2005022: X=1790, Y=1901
1766067939.5470371: X=829, Y=2153
1766067940.442145: X=942, Y=2068
1766067941.401207: X=616, Y=2149
1766067942.30119: X=311, Y=2157
1766067943.7439268: X=3839, Y=2159
1766067946.6901093: X=2196, Y=1693
1766067949.4436922: X=755, Y=1010
1766067961.2133276: X=785, Y=964
1766067963.6280317: X=1064, Y=552
1766067964.1040058: X=1919, Y=1079
1766067965.1679115: X=454, Y=1061
1766067971.6505442: X=741, Y=845
1766067972.3919013: X=1919, Y=1079
1766067976.5695639: X=53, Y=511
1766067976.7619174: X=53, Y=511
1766067979.4395719: X=343, Y=613
1766067980.3111646: X=750, Y=772
1766068017.3250105: X=282, Y=709
1766068018.7582011: X=686, Y=587
1766068023.2099872: X=852, Y=479
1766068024.4170113: X=852, Y=479
1766068025.046648: X=852, Y=479
1766068054.0124116: X=1527, Y=21
1766068057.2516198: X=298, Y=879
1766068069.4907393: X=854, Y=477
1766068069.49174: X=854, Y=477
1766068083.2939694: X=854, Y=475
1766068083.2949693: X=854, Y=475
1766068092.0515013: X=950, Y=483
1766068092.0524986: X=950, Y=483
1766068120.5687485: X=1064, Y=484
1766068120.5697484: X=1064, Y=484
1766068186.285127: X=813, Y=667
1766068186.2861178: X=813, Y=667
1766068204.1577828: X=850, Y=670
1766068204.1577828: X=850, Y=670
1766068216.1688814: X=889, Y=672
1766068216.1698442: X=889, Y=672
1766068341.6359036: X=795, Y=863
1766068341.6359036: X=795, Y=863
1766068342.6074498: X=1580, Y=17
1766068342.6084354: X=1580, Y=17
1766068344.386509: X=1580, Y=17
1766068344.387537: X=1580, Y=17
1766068346.954904: X=466, Y=1060
1766068348.169586: X=613, Y=1068
1766068349.6996818: X=444, Y=731
1766068351.9280589: X=450, Y=515
1766068354.5070822: X=2091, Y=1114
1766068355.8927908: X=652, Y=2142
1766068357.1481905: X=254, Y=253
1766068400.8318074: X=2649, Y=2024
1766068402.923999: X=2598, Y=374
1766068403.595652: X=1875, Y=1901
1766068734.8401754: X=704, Y=2135
1766068736.2659037: X=1871, Y=583
1766068744.6462836: X=3784, Y=2073
1766068775.7482803: X=3783, Y=2082
1766068776.746021: X=1223, Y=1586
1766068781.6858094: X=2429, Y=1211
1766068783.3839667: X=1001, Y=2009
1766068783.8253: X=1843, Y=1172
1766068789.4460955: X=3231, Y=18
1766068792.1337998: X=209, Y=52
1766068795.2912698: X=850, Y=670
1766068796.4727578: X=854, Y=477
1766068797.6300094: X=850, Y=870
1766068798.7951694: X=950, Y=483
1766068800.0730789: X=1064, Y=484
1766068803.9583507: X=3839, Y=2159
1766068805.5195386: X=2519, Y=635
1766068805.6725078: X=2519, Y=634
1766068806.821977: X=2571, Y=396
1766068807.141938: X=2569, Y=391
1766068808.6564362: X=850, Y=670
1766068809.8205948: X=854, Y=477
1766068810.9913538: X=850, Y=870
1766068812.154649: X=950, Y=483
1766068813.4256957: X=1064, Y=484
1766068816.6656337: X=1003, Y=2119
1766068817.5475748: X=910, Y=605
1766068818.4723308: X=2385, Y=1355
1766068819.182547: X=930, Y=573
1766068820.0613098: X=969, Y=1763
1766068821.3679276: X=858, Y=645
1766068821.893576: X=1764, Y=1104
1766068822.6684697: X=874, Y=493
1766068825.4114258: X=1967, Y=1042
1766068825.9672759: X=3192, Y=1265
1766068826.4138012: X=2309, Y=1064
1766068829.127858: X=3839, Y=2159
1766068834.1963854: X=353, Y=2142
1766068837.9218888: X=312, Y=1363
1766068838.808774: X=313, Y=1353
1766068840.8311665: X=358, Y=336
1766068844.1473043: X=1823, Y=24
1766068845.7825: X=913, Y=2141
1766068846.7875414: X=804, Y=1020
1766068847.6369736: X=713, Y=993
1766068849.9474244: X=1040, Y=559
1766068850.712369: X=809, Y=1059
1766068857.9813235: X=381, Y=1007
1766068860.6584003: X=567, Y=447
1766068861.826108: X=569, Y=318
1766068862.9935775: X=567, Y=580
1766068864.1555257: X=633, Y=322
1766068865.427029: X=709, Y=322
1766068870.267342: X=622, Y=1053
1766068872.1068697: X=435, Y=728
1766068873.4373248: X=477, Y=504
1766068876.6273696: X=2096, Y=1121
1766068881.4448955: X=1061, Y=2136
1766068887.2216635: X=2050, Y=532
1766068888.7864337: X=1932, Y=1185
1766068889.950694: X=827, Y=2131
1766068890.588405: X=911, Y=2006
1766068891.158891: X=637, Y=2124
1766068892.2417843: X=1921, Y=1891
1766068920.2147136: X=2388, Y=625
1766068921.1965756: X=833, Y=2146
1766068921.5678322: X=1085, Y=2004
1766068922.733528: X=47, Y=1918
1766068928.1121733: X=653, Y=2133
1766068948.0206015: X=2413, Y=1046
1766068949.0644414: X=841, Y=2112
1766068949.4944837: X=1067, Y=1968
1766068959.4127562: X=566, Y=2133
1766068961.296924: X=2066, Y=1540
1766068962.2189605: X=2322, Y=1132
1766068962.3833663: X=2322, Y=1132
1766068963.2675147: X=2284, Y=850
1766068963.422789: X=2284, Y=850
1766068967.0832076: X=2370, Y=1187
1766068967.262112: X=2370, Y=1187
1766068969.051519: X=2412, Y=1029
1766068969.2355187: X=2412, Y=1029
1766068970.1335347: X=1929, Y=765
1766068972.1678796: X=2401, Y=1355
1766068972.3315089: X=2401, Y=1355
1766068975.3230736: X=2243, Y=1165
1766068976.8955362: X=2433, Y=1650
1766068986.3950384: X=2191, Y=1152
1766068988.102346: X=2491, Y=1641
1766068989.2636151: X=2252, Y=925
1766068994.4699125: X=2456, Y=1163
1766068995.180871: X=2351, Y=1799
1766068999.7911174: X=345, Y=213
1766068999.9430208: X=345, Y=213
1766069052.2201598: X=643, Y=2154
1766069053.5859294: X=1514, Y=41
1766069055.6692948: X=1753, Y=587
1766069061.119717: X=1732, Y=738
1766069061.9254403: X=1244, Y=28
1766069063.786781: X=1450, Y=24
1766069064.260782: X=649, Y=0
1766069078.9838808: X=2441, Y=768
1766069079.8276346: X=821, Y=2131
1766069080.196361: X=965, Y=2018
1766069081.7109253: X=330, Y=1574
1766069082.275736: X=289, Y=1574
